NumIters,Seconds,LearningRate,loss1/loss1,loss2/loss1,loss3/loss3/new,LOG OF LOSS
172640,27703.33827,0.00963371,9.74568,10.9801,0.000204351,-3.689623233
172680,27708.25292,0.00963362,11.2583,11.3376,9.06E-05,-4.042862215
172720,27713.1646,0.00963353,10.2796,10.8261,6.77E-05,-4.169478052
172760,27718.08409,0.00963345,10.9944,11.5404,2.07E-05,-4.685052604
172800,27723.0026,0.00963336,9.82884,11.6337,0.000624373,-3.204555886
172840,27727.91705,0.00963328,9.73089,10.5621,6.35E-06,-5.197098399
172880,27732.8284,0.00963319,10.5279,11.4106,5.81E-05,-4.235493601
172920,27737.74439,0.0096331,10.0923,10.9772,3.82E-05,-4.418330182
172960,27742.65179,0.00963302,10.5394,10.7816,0.000266923,-3.573614003
173000,27747.56164,0.00963293,10.0413,10.263,9.69E-05,-4.013491161
173040,27752.47282,0.00963284,10.1378,10.6396,5.32E-06,-5.273797847
173080,27757.38424,0.00963276,10.7208,10.8031,2.43E-05,-4.615220208
173120,27762.29609,0.00963267,10.7953,10.9035,6.21E-05,-4.207239317
173160,27767.20903,0.00963258,10.4351,10.6091,2.03E-05,-4.692005772
173200,27772.11988,0.0096325,10.7523,11.5171,5.01E-05,-4.300098998
173240,27777.0342,0.00963241,10.9141,11.3017,0.000609065,-3.215336357
173280,27781.94862,0.00963232,10.1706,10.8763,0.000342117,-3.465825345
173320,27786.8586,0.00963224,10.812,11.5938,0.000409091,-3.388180075
173360,27791.77229,0.00963215,10.8309,10.8043,0.000351695,-3.453833806
173400,27796.68617,0.00963206,10.8371,10.6486,5.85E-05,-4.232844876
173440,27801.5987,0.00963198,10.0057,11.2459,5.86E-05,-4.231867513
173480,27806.51293,0.00963189,10.4559,11.4879,7.24E-05,-4.140097704
173520,27811.42854,0.00963181,10.9665,11.8388,0.000187648,-3.72665606
173560,27816.33668,0.00963172,9.75554,10.4494,5.48E-05,-4.261389071
173600,27821.25174,0.00963163,9.49089,10.3842,3.15E-05,-4.50195424
173640,27826.16329,0.00963155,9.42761,10.6246,9.28E-06,-5.032632237
173680,27831.07829,0.00963146,10.9274,11.1666,7.11E-06,-5.148248304
173720,27835.9944,0.00963137,10.6396,10.6263,2.18E-05,-4.66231716
173760,27840.90901,0.00963129,10.4276,10.9042,0.000156014,-3.806836428
173800,27845.81623,0.0096312,10.7332,11.3809,0.000755931,-3.121517844
173840,27850.72818,0.00963111,10.6,10.9563,4.71E-05,-4.327023354
173880,27855.64586,0.00963103,10.6876,11.0612,0.000118957,-3.924609997
173920,27860.55779,0.00963094,10.5477,10.9102,2.97E-05,-4.527872783
173960,27865.47219,0.00963085,10.3901,10.6857,9.63E-05,-4.016394458
174000,27870.39413,0.00963077,10.7554,11.4074,5.45E-05,-4.263552501
174040,27875.30538,0.00963068,10.9376,11.4763,0.000583442,-3.234002311
174080,27880.21975,0.00963059,10.8038,10.998,0.000259107,-3.586520854
174120,27885.1355,0.00963051,9.91713,10.8107,0.000467196,-3.330500884
174160,27890.04484,0.00963042,11.049,10.9182,8.41E-05,-4.075393565
174200,27894.95777,0.00963033,10.1572,10.8989,1.69E-05,-4.773237748
174240,27899.87209,0.00963025,10.5179,10.6554,4.55E-05,-4.342009603
174280,27904.78203,0.00963016,10.0087,10.5422,3.98E-05,-4.400174765
174320,27909.69475,0.00963007,10.7198,10.984,5.57E-05,-4.25402007
174360,27914.61122,0.00962999,10.0786,10.8665,1.67E-05,-4.777481217
174400,27919.52149,0.0096299,9.65636,11.2993,0.000400753,-3.397123218
174440,27924.43398,0.00962981,10.581,11.3481,0.000115413,-3.93774527
174480,27929.34928,0.00962973,10.8234,11.083,5.62E-05,-4.249897548
174520,27934.2623,0.00962964,10.4975,11.296,2.79E-05,-4.553907296
174560,27939.17507,0.00962956,10.7874,11.127,1.04E-05,-4.983681329
174600,27944.09202,0.00962947,10.3087,10.7805,0.000202618,-3.693321976
174640,27949.00415,0.00962938,10.7571,10.6036,0.000163893,-3.785439595
174680,27953.92141,0.0096293,10.3355,10.6753,5.24E-05,-4.280306676
174720,27958.83895,0.00962921,10.0054,11.1363,6.93E-06,-5.159073788
174760,27963.75498,0.00962912,10.8692,11.5117,1.15E-05,-4.93971021
174800,27968.66697,0.00962904,10.4818,11.5139,0.000222857,-3.65197372
174840,27973.58216,0.00962895,10.9104,11.4988,3.42E-05,-4.466161875
174880,27978.49274,0.00962886,10.0011,10.9375,0.0006669,-3.175939283
174920,27983.40408,0.00962878,10.2862,11.2655,0.0004784,-3.320208829
174960,27988.32213,0.00962869,10.6696,10.7478,0.000737948,-3.13197424
175000,27993.23475,0.0096286,10.5001,10.9573,0.000190549,-3.719993326
175040,27998.14865,0.00962852,10.4544,11.2927,0.000543291,-3.264967489
175080,28003.06525,0.00962843,10.1527,11.2372,9.52E-05,-4.021546936
175120,28007.9782,0.00962834,10.4457,11.0211,0.000136466,-3.864975538
175160,28012.89412,0.00962826,10.5994,11.2374,0.000174494,-3.758219502
175200,28017.80868,0.00962817,11.0829,11.3479,4.90E-05,-4.309838488
175240,28022.7234,0.00962808,10.4003,10.8281,4.45E-05,-4.352121395
175280,28027.63947,0.009628,10.0941,10.4755,0.000100711,-3.996923092
175320,28032.55642,0.00962791,10.668,11.4379,2.84E-05,-4.546739774
175360,28037.47189,0.00962782,10.1614,11.1899,7.46E-05,-4.127484199
175400,28042.38465,0.00962774,9.82259,10.4189,3.16E-05,-4.499781369
175440,28047.30083,0.00962765,10.2712,11.0036,0.000143681,-3.842600658
175480,28052.2096,0.00962756,10.0084,11.2234,8.16E-05,-4.088148607
175520,28057.12572,0.00962748,9.86337,10.7394,0.000120099,-3.920460609
175560,28062.04338,0.00962739,10.2687,11.18,0.000106942,-3.970851698
175600,28066.95245,0.0096273,10.2695,11.5046,7.76E-06,-5.110125407
175640,28071.86628,0.00962722,10.3049,10.9664,0.000116165,-3.934924703
175680,28076.78286,0.00962713,10.4424,10.9563,0.000233931,-3.630912223
175720,28081.69958,0.00962705,9.83885,11.2709,3.93E-05,-4.405274949
175760,28086.61229,0.00962696,10.6129,10.8167,2.60E-05,-4.584901393
175800,28091.52994,0.00962687,10.7539,10.7824,4.16E-05,-4.38078141
175840,28096.4373,0.00962679,10.3989,11.3794,0.000283637,-3.547237117
175880,28101.35078,0.0096267,10.6724,10.9025,5.25E-05,-4.280021897
175920,28106.26514,0.00962661,10.1626,10.9169,0.00010826,-3.965531977
175960,28111.17764,0.00962653,10.9732,11.6728,6.19E-05,-4.208253226
176000,28267.3066,0.00962644,10.8744,11.0798,1.82E-05,-4.740308189
176040,28272.22484,0.00962635,10.3079,11.0726,4.41E-05,-4.355814577
176080,28277.14336,0.00962627,10.5431,11.0019,1.93E-05,-4.714976323
176120,28282.05623,0.00962618,9.96002,11.4224,4.90E-05,-4.310143511
176160,28286.97503,0.00962609,11.3197,11.4207,4.44E-05,-4.352821509
176200,28291.89208,0.00962601,10.1604,10.8121,9.45E-06,-5.024506613
176240,28296.80588,0.00962592,10.9499,11.3043,9.98E-05,-4.000933433
176280,28301.71738,0.00962583,10.4054,11.3095,6.11E-05,-4.214039117
176320,28306.62835,0.00962575,10.1253,10.8266,0.000275373,-3.560078644
176360,28311.54357,0.00962566,10.2465,10.5021,7.89E-05,-4.102870708
176400,28316.45875,0.00962557,9.94704,10.5955,4.52E-05,-4.344507164
176440,28321.38139,0.00962549,10.2386,10.7121,0.000121194,-3.91651888
176480,28326.29464,0.0096254,10.4118,10.9088,1.19E-05,-4.925765201
176520,28331.21217,0.00962531,10.676,11.2036,0.000152138,-3.817762297
176560,28336.12596,0.00962523,10.804,11.8165,4.23E-05,-4.373194786
176600,28341.032,0.00962514,10.1088,11.5999,0.000174948,-3.757091018
176640,28345.94826,0.00962505,10.1212,11.0898,1.38E-05,-4.861324758
176680,28350.86655,0.00962497,10.3029,10.5665,0.000210351,-3.677055419
176720,28355.77933,0.00962488,10.0125,10.7221,0.000158082,-3.801117578
176760,28360.69273,0.00962479,10.0189,10.7408,0.00011944,-3.922850205
176800,28365.60837,0.00962471,10.7492,11.1396,7.60E-05,-4.11898645
176840,28370.52214,0.00962462,9.68057,11.2103,4.01E-05,-4.396866458
176880,28375.43841,0.00962453,9.82548,11.3436,7.25E-05,-4.139609282
176920,28380.35986,0.00962445,10.9631,11.3348,2.87E-05,-4.542498088
176960,28385.27029,0.00962436,10.1791,10.7597,7.60E-05,-4.119136695
177000,28390.18552,0.00962427,10.0381,10.4567,5.84E-05,-4.233392359
177040,28395.10406,0.00962419,10.4335,10.7242,3.86E-05,-4.413438574
177080,28400.01827,0.0096241,10.0869,10.6595,0.000123079,-3.909816041
177120,28404.93214,0.00962401,10.9208,10.6138,5.63E-05,-4.249568751
177160,28409.84503,0.00962393,10.244,10.8807,5.77E-05,-4.239041012
177200,28414.75845,0.00962384,11.0481,10.9466,0.000118149,-3.92756995
177240,28419.67656,0.00962375,11.4429,10.8605,4.21E-05,-4.375311652
177280,28424.59363,0.00962367,10.2931,11.4307,0.000104168,-3.982265674
177320,28429.50973,0.00962358,9.96687,10.9154,2.29E-05,-4.640117108
177360,28434.42707,0.00962349,11.1693,11.3862,2.46E-05,-4.60838221
177400,28439.33993,0.00962341,10.2461,10.95,5.82E-05,-4.235132985
177440,28444.25321,0.00962332,10.7368,11.49,0.000177187,-3.751568145
177480,28449.16964,0.00962324,10.5774,10.8501,5.74E-05,-4.241188748
177520,28454.08519,0.00962315,10.7277,10.5725,0.000154253,-3.811766381
177560,28458.99615,0.00962306,10.1858,10.5175,3.35E-05,-4.474790581
177600,28463.91409,0.00962298,10.4611,10.9054,9.39E-05,-4.027530555
177640,28468.82849,0.00962289,10.4296,11.4106,0.000161079,-3.792961075
177680,28473.73685,0.0096228,11.6918,11.4941,0.000184251,-3.734590146
